host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,first_review,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month
366654,2011-01-28,within an hour,1.0,0.9,f,t,t,Eixample,Entire home/apt,2,1.5,1.0,1.0,186.0,3,1125,t,17,2011-03-27,4.21,f,4,0.52
848995,2011-07-21,within an hour,1.0,0.77,t,t,t,Eixample,Private room,2,1.0,2.0,2.0,45.0,6,730,t,1,2022-10-14,4.89,f,2,1.65
366654,2011-01-28,within an hour,1.0,0.9,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,4.0,348.0,3,1125,t,12,2011-10-11,4.7,f,4,0.77
368317,2011-01-30,within a few hours,0.75,0.08,f,t,t,Ciutat Vella,Entire home/apt,4,1.5,4.0,5.0,68.0,28,730,t,30,2011-05-08,4.0,f,7,0.07
1839136,2012-03-01,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,4,1.0,2.0,2.0,173.0,2,15,t,9,2012-03-13,4.66,f,1,2.7
1260560,2011-10-07,within an hour,1.0,0.96,f,t,t,Eixample,Entire home/apt,4,1.5,3.0,3.0,213.0,1,1125,t,7,2012-07-26,4.71,f,4,0.94
375625,2011-02-03,within an hour,0.93,0.94,f,t,t,Sant Marti,Entire home/apt,3,1.0,1.0,2.0,259.0,1,28,t,30,2014-08-19,4.74,f,6,6.45
953719,2011-08-10,within a few hours,1.0,0.9,t,t,t,Eixample,Entire home/apt,8,4.0,4.0,5.0,386.0,1,27,t,0,2011-09-28,4.94,f,1,2.58
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.0,4.0,7.0,342.0,2,32,f,0,2011-09-15,4.43,f,19,0.85
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Ciutat Vella,Entire home/apt,6,1.0,3.0,4.0,240.0,32,1125,t,30,2022-06-24,4.5,f,159,0.14
1444707,2011-11-26,within an hour,1.0,1.0,f,t,t,Gracia,Entire home/apt,4,1.0,2.0,3.0,150.0,3,365,t,6,2012-04-21,4.64,f,2,3.99
368317,2011-01-30,within a few hours,0.75,0.08,f,t,t,Ciutat Vella,Entire home/apt,2,1.0,2.0,2.0,65.0,28,1000,t,0,2012-08-11,5.0,f,7,0.01
368317,2011-01-30,within a few hours,0.75,0.08,f,t,t,Ciutat Vella,Entire home/apt,2,1.5,1.0,1.0,65.0,28,3000,t,0,2011-09-08,4.33,f,7,0.05
1906952,2012-03-12,within an hour,1.0,0.98,t,t,t,Eixample,Private room,1,1.0,1.0,1.0,78.0,3,31,t,6,2012-06-04,4.75,f,2,2.64
1751133,2012-02-14,within a day,0.9,0.44,f,t,t,Ciutat Vella,Entire home/apt,2,2.0,2.0,4.0,61.0,32,60,t,0,2012-12-27,4.22,f,2,0.35
632830,2011-05-27,within an hour,1.0,0.98,f,t,t,Gracia,Entire home/apt,3,1.0,1.0,2.0,42.0,31,1125,t,11,2011-12-20,4.52,f,3,2.5
135703,2010-05-31,within an hour,1.0,1.0,f,t,t,Gracia,Entire home/apt,12,2.0,4.0,14.0,360.0,2,30,t,6,2011-06-04,4.57,t,3,1.27
971768,2011-08-15,within an hour,0.98,0.98,f,t,t,Sant Marti,Entire home/apt,8,2.0,4.0,6.0,450.0,2,365,t,5,2012-04-26,4.67,f,9,0.75
1013855,2011-08-24,within an hour,1.0,1.0,t,t,t,Gracia,Entire home/apt,4,1.0,2.0,2.0,144.0,4,180,t,0,2011-12-05,4.71,t,1,1.61
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,4.0,237.0,1,1125,t,30,2012-07-02,3.57,f,159,0.07
396363,2011-02-17,within an hour,1.0,0.92,f,t,t,Eixample,Entire home/apt,5,1.0,2.0,3.0,149.0,2,1125,t,6,2011-04-20,4.22,f,111,0.26
1751133,2012-02-14,within a day,0.9,0.44,f,t,t,Ciutat Vella,Entire home/apt,4,1.5,2.0,3.0,82.0,32,89,t,6,2012-06-18,4.45,f,2,0.53
1014050,2011-08-24,within an hour,1.0,1.0,t,t,t,Sants-Montjuic,Entire home/apt,2,1.0,1.0,1.0,140.0,3,365,t,2,2011-11-06,4.88,f,1,0.96
400154,2011-02-19,within an hour,1.0,0.97,f,t,t,Sant Marti,Entire home/apt,6,1.0,3.0,4.0,165.0,3,330,t,6,2012-01-07,4.43,f,9,0.57
431839,2011-03-09,within an hour,1.0,0.71,t,t,t,Sants-Montjuic,Entire home/apt,5,1.0,3.0,3.0,140.0,5,1125,t,6,2011-05-24,4.63,f,1,1.13
700165,2011-06-14,within an hour,1.0,0.73,f,t,t,Eixample,Private room,2,1.0,1.0,1.0,71.0,3,365,t,5,2011-04-25,4.4,f,1,0.78
1033366,2011-08-29,within an hour,1.0,1.0,t,t,t,Gracia,Entire home/apt,3,1.0,2.0,3.0,117.0,2,1125,t,2,2013-01-02,4.78,f,1,2.55
674212,2011-06-07,within a few hours,1.0,0.95,t,t,t,Eixample,Entire home/apt,2,1.0,1.0,1.0,186.0,2,360,t,1,2012-04-25,4.97,f,5,1.43
488117,2011-04-06,within an hour,1.0,0.98,t,t,t,Ciutat Vella,Entire home/apt,9,1.0,3.0,8.0,337.0,6,1000,t,1,2012-11-02,4.7,t,6,0.18
3775349,2012-10-06,within a day,0.58,0.88,f,t,t,Ciutat Vella,Entire home/apt,6,2.0,3.0,6.0,543.0,2,60,t,8,2012-03-26,4.64,t,45,1.94
3556337,2012-09-13,within an hour,1.0,0.99,f,t,t,Eixample,Entire home/apt,3,1.0,1.0,2.0,196.0,1,365,t,1,2011-11-10,4.78,t,46,2.35
1968590,2012-03-19,within an hour,1.0,1.0,f,t,t,Ciutat Vella,Entire home/apt,4,1.0,2.0,4.0,133.0,3,31,t,2,2012-06-14,4.44,t,1,2.91
1110014,2011-09-04,a few days or more,0.0,0.0,f,t,t,Sants-Montjuic,Private room,1,1.0,1.0,1.0,22.0,31,90,t,16,2012-06-13,4.66,f,1,1.13
874133,2011-07-26,within a few hours,1.0,0.78,t,t,t,Sants-Montjuic,Entire home/apt,4,2.0,2.0,2.0,88.0,31,96,t,3,2011-12-27,4.82,f,1,0.41
1227290,2011-09-29,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,3,1.0,1.0,2.0,225.0,14,130,t,4,2016-07-08,4.64,f,1,0.96
1995385,2012-03-23,within an hour,1.0,0.99,t,t,t,Eixample,Entire home/apt,2,1.0,2.0,2.0,170.0,2,8,t,6,2012-04-12,4.86,f,3,0.82
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Ciutat Vella,Entire home/apt,5,1.0,2.0,5.0,237.0,2,365,t,30,2012-04-25,4.29,f,159,0.08
396363,2011-02-17,within an hour,1.0,0.92,f,t,t,Gracia,Entire home/apt,4,1.0,1.0,2.0,159.0,2,1125,t,24,2012-07-16,4.12,f,111,0.31
2034854,2012-03-30,within a few hours,1.0,0.63,f,t,t,Sants-Montjuic,Entire home/apt,7,2.0,3.0,3.0,190.0,1,365,t,4,2012-04-12,4.65,f,1,3.69
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.0,4.0,7.0,348.0,2,30,f,0,2014-07-02,4.35,f,19,0.78
1257705,2011-10-06,within an hour,1.0,1.0,f,t,t,Sarria-Sant Gervasi,Entire home/apt,8,1.0,3.0,6.0,200.0,2,90,t,6,2015-02-20,4.15,t,5,0.47
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.0,3.0,6.0,419.0,2,32,f,0,2011-06-21,4.38,f,19,0.77
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Eixample,Entire home/apt,6,1.0,2.0,5.0,160.0,1,1125,t,30,2012-07-15,4.5,f,159,0.05
2074943,2012-04-05,within an hour,1.0,0.67,f,t,t,Gracia,Entire home/apt,4,1.5,2.0,2.0,123.0,31,1125,t,6,2013-06-03,4.73,f,1,0.86
488117,2011-04-06,within an hour,1.0,0.98,t,t,t,Ciutat Vella,Entire home/apt,6,1.0,2.0,6.0,237.0,6,600,t,8,2013-04-04,4.68,t,6,0.53
1184485,2011-09-20,within an hour,1.0,0.78,t,t,t,Ciutat Vella,Entire home/apt,4,1.5,2.0,2.0,99.0,32,364,t,6,2011-12-22,4.82,f,1,0.2
488117,2011-04-06,within an hour,1.0,0.98,t,t,t,Ciutat Vella,Entire home/apt,5,1.0,2.0,3.0,167.0,6,60,t,5,2013-06-18,4.86,t,6,0.28
2108468,2012-04-10,within an hour,1.0,0.98,t,t,t,Ciutat Vella,Entire home/apt,5,2.0,2.0,3.0,259.0,1,365,t,5,2013-02-24,4.69,f,8,1.21
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Ciutat Vella,Entire home/apt,4,1.0,1.0,2.0,233.0,2,1125,t,30,2012-06-25,5.0,f,159,0.02
2116153,2012-04-11,within a day,1.0,0.91,t,t,t,Sarria-Sant Gervasi,Entire home/apt,8,3.5,4.0,5.0,536.0,2,1125,t,0,2014-06-19,4.81,f,1,0.84
1093718,2011-08-31,within an hour,1.0,0.99,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,4.0,180.0,2,365,t,3,2012-08-08,4.67,f,13,0.61
1093718,2011-08-31,within an hour,1.0,0.99,f,t,t,Eixample,Entire home/apt,8,2.0,4.0,6.0,275.0,2,360,t,3,2012-07-10,4.68,f,13,1.07
898600,2011-07-31,within an hour,1.0,0.91,t,t,t,Eixample,Entire home/apt,4,1.5,2.0,4.0,239.0,1,1125,t,1,2012-06-27,4.82,f,2,2.71
297885449,2019-09-25,within a day,0.96,0.8,f,t,t,Ciutat Vella,Entire home/apt,4,1.0,3.0,4.0,82.0,60,1125,t,0,2012-07-10,4.33,f,25,0.04
2556699,2012-06-05,within an hour,1.0,1.0,t,t,t,Sant Marti,Entire home/apt,5,1.5,2.0,4.0,311.0,2,365,t,0,2012-06-22,4.77,t,1,0.29
1298586,2011-10-16,within an hour,0.98,0.92,t,t,t,Sant Marti,Entire home/apt,6,1.0,3.0,3.0,197.0,2,400,t,11,2012-03-02,4.51,f,7,0.94
1310304,2011-10-19,within a day,0.95,0.52,f,t,t,Ciutat Vella,Entire home/apt,4,1.0,1.0,2.0,38.0,32,330,t,0,2012-03-02,4.45,f,42,0.18
2004002,2012-03-25,within an hour,1.0,1.0,t,t,t,Eixample,Private room,2,1.0,1.0,1.0,37.0,31,90,t,3,2012-05-21,4.79,t,2,2.03
893805,2011-07-30,within a few hours,0.99,0.95,t,t,t,Eixample,Entire home/apt,8,2.0,4.0,5.0,331.0,2,60,t,2,2013-06-26,4.79,f,13,4.4
1348378,2011-10-29,within an hour,1.0,1.0,t,t,t,Gracia,Private room,1,1.0,1.0,1.0,28.0,31,1125,t,0,2012-04-01,4.84,f,2,0.5
1432835,2011-11-22,within an hour,0.99,0.99,f,t,t,Eixample,Entire home/apt,5,2.0,3.0,4.0,200.0,3,1125,t,3,2012-07-23,4.58,f,38,2.2
2181314,2012-04-20,within a few hours,1.0,0.99,f,t,t,Gracia,Entire home/apt,6,2.0,2.0,3.0,140.0,2,30,t,4,2012-06-19,4.63,f,1,2.48
2570705,2012-06-07,within an hour,1.0,0.92,t,t,t,Eixample,Entire home/apt,4,1.0,2.0,2.0,164.0,4,160,t,4,2013-09-07,4.78,f,1,1.36
2041901,2012-03-31,within an hour,0.98,1.0,f,t,t,Eixample,Entire home/apt,6,1.0,2.0,4.0,136.0,3,1125,t,2,2012-11-07,4.48,t,9,0.97
1350468,2011-10-30,within an hour,1.0,0.99,f,t,t,Ciutat Vella,Private room,2,1.0,1.0,1.0,69.0,31,1125,t,8,2012-05-24,4.52,f,1,1.57
1377744,2011-11-06,within a day,0.93,0.87,f,t,t,Sant Marti,Entire home/apt,6,1.5,3.0,4.0,129.0,3,200,t,0,2012-03-03,4.6,f,2,2.07
1697782,2012-02-04,within an hour,1.0,0.99,t,t,t,Eixample,Private room,2,1.5,1.0,1.0,69.0,31,60,t,2,2012-07-05,4.73,f,2,2.19
1404293,2011-11-14,within a day,0.5,1.0,f,t,t,Ciutat Vella,Entire home/apt,8,4.0,4.0,6.0,1000.0,2,14,t,13,2012-05-30,4.56,t,2,0.24
2201772,2012-04-23,within a few hours,0.8,0.81,f,t,t,Eixample,Entire home/apt,3,1.0,2.0,2.0,391.0,1,365,t,10,2012-05-21,4.62,t,9,0.36
2202284,2012-04-23,within an hour,1.0,0.99,f,t,t,Eixample,Entire home/apt,5,1.0,2.0,3.0,156.0,4,1124,t,2,2012-07-11,4.65,t,19,1.24
2204578,2012-04-23,within an hour,1.0,0.85,t,t,t,Ciutat Vella,Private room,1,1.0,1.0,1.0,35.0,31,31,t,11,2012-09-10,4.78,f,1,2.68
1405013,2011-11-14,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,3.0,260.0,2,180,t,9,2012-04-23,4.51,t,12,0.32
1405013,2011-11-14,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,6,2.0,2.0,3.0,277.0,2,180,t,1,2017-01-02,4.68,t,12,1.07
1267680,2011-10-09,within an hour,1.0,0.96,t,t,t,Ciutat Vella,Entire home/apt,4,1.0,1.0,2.0,155.0,4,1125,t,2,2012-05-28,4.71,f,5,1.51
2598629,2012-06-10,within an hour,1.0,1.0,t,t,t,Gracia,Private room,2,1.0,2.0,2.0,65.0,31,90,t,29,2014-01-01,4.73,f,3,1.24
1267680,2011-10-09,within an hour,1.0,0.96,t,t,t,Ciutat Vella,Entire home/apt,3,1.0,1.0,2.0,164.0,4,1125,t,3,2012-06-14,4.8,f,5,1.35
1411775,2011-11-16,within an hour,1.0,0.85,f,t,t,Eixample,Entire home/apt,2,1.0,1.0,1.0,176.0,10,760,t,8,2018-01-01,4.7,t,2,1.13
1425070,2011-11-20,within an hour,1.0,0.99,t,t,t,Eixample,Entire home/apt,8,2.0,3.0,6.0,441.0,4,1125,t,6,2012-07-03,4.93,f,1,2.9
2608724,2012-06-11,within an hour,0.99,1.0,t,t,t,Eixample,Entire home/apt,11,2.0,4.0,9.0,358.0,3,45,t,5,2012-06-20,4.93,t,4,4.34
1429552,2011-11-21,within an hour,1.0,1.0,t,t,t,Eixample,Entire home/apt,2,1.0,1.0,1.0,124.0,7,1125,t,6,2012-05-16,4.63,f,1,1.18
1405013,2011-11-14,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,3.0,279.0,2,365,t,11,2016-11-27,4.59,t,12,0.82
2613353,2012-06-12,within a few hours,1.0,1.0,f,t,t,Ciutat Vella,Entire home/apt,3,1.0,2.0,2.0,75.0,32,1125,t,29,2013-06-19,4.33,f,1,0.02
16569867,2014-06-09,within an hour,1.0,1.0,t,t,t,Eixample,Private room,1,1.0,1.0,1.0,82.0,3,1125,t,0,2014-08-19,4.85,t,2,1.34
1923383,2012-03-14,a few days or more,0.0,0.15,f,t,t,Gracia,Private room,2,2.0,1.0,1.0,65.0,2,5,t,0,2017-06-05,4.75,f,1,1.73
1432835,2011-11-22,within an hour,0.99,0.99,f,t,t,Eixample,Entire home/apt,4,2.0,2.0,2.0,187.0,3,365,t,2,2012-02-07,4.69,f,38,1.83
2626568,2012-06-13,within a few hours,1.0,0.96,t,t,t,Eixample,Entire home/apt,2,1.0,1.0,1.0,266.0,5,30,t,0,2013-07-23,4.73,f,1,1.48
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Sants-Montjuic,Entire home/apt,6,1.0,2.0,5.0,170.0,1,365,t,30,2012-04-03,3.5,f,159,0.01
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Ciutat Vella,Entire home/apt,5,1.0,2.0,5.0,233.0,1,365,t,30,2012-03-03,4.18,f,159,0.09
340570,2011-01-09,within an hour,1.0,1.0,t,t,t,Ciutat Vella,Entire home/apt,4,2.0,2.0,3.0,170.0,31,1125,t,28,2012-06-13,4.47,f,2,0.23
1432835,2011-11-22,within an hour,0.99,0.99,f,t,t,Sants-Montjuic,Entire home/apt,8,2.0,4.0,4.0,200.0,3,1124,t,3,2012-07-30,4.51,f,38,2.04
2608724,2012-06-11,within an hour,0.99,1.0,t,t,t,Eixample,Entire home/apt,9,2.0,3.0,8.0,298.0,3,90,t,1,2012-09-07,4.95,t,4,3.35
1995385,2012-03-23,within an hour,1.0,0.99,t,t,t,Eixample,Entire home/apt,2,1.0,1.0,2.0,142.0,2,8,t,8,2012-05-21,4.68,f,3,1.03
2337603,2012-05-10,within a few hours,1.0,0.63,t,t,t,Gracia,Entire home/apt,4,1.0,2.0,3.0,254.0,5,1125,t,1,2016-01-18,4.84,f,4,0.75
1435464,2011-11-23,within an hour,0.96,0.98,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,4.0,198.0,1,1125,t,8,2012-08-18,4.67,t,15,0.94
2635405,2012-06-14,within an hour,1.0,1.0,t,t,t,Horta-Guinardo,Private room,1,1.0,1.0,1.0,30.0,31,120,t,2,2013-07-19,4.79,f,1,0.38
1435464,2011-11-23,within an hour,0.96,0.98,f,t,t,Sarria-Sant Gervasi,Entire home/apt,6,2.0,3.0,6.0,322.0,1,1125,t,0,2012-07-05,4.76,t,15,0.56
2337603,2012-05-10,within a few hours,1.0,0.63,t,t,t,Sarria-Sant Gervasi,Entire home/apt,4,2.0,2.0,3.0,270.0,4,365,t,0,2015-03-07,4.84,f,4,0.67
2638282,2012-06-14,within an hour,1.0,1.0,t,t,t,Eixample,Entire home/apt,6,1.0,2.0,4.0,169.0,3,30,t,5,2012-08-11,4.86,f,1,3.59
2337603,2012-05-10,within a few hours,1.0,0.63,t,t,t,Sarria-Sant Gervasi,Entire home/apt,5,2.0,2.0,3.0,255.0,4,365,t,2,2016-03-31,4.9,f,4,0.66
1435464,2011-11-23,within an hour,0.96,0.98,f,t,t,Ciutat Vella,Entire home/apt,5,2.0,3.0,4.0,127.0,1,1125,t,2,2014-03-01,4.62,t,15,0.46
177617,2010-07-22,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,4,1.0,2.0,2.0,149.0,2,364,t,0,2012-06-30,4.57,f,6,2.59
1443815,2011-11-26,within a few hours,1.0,1.0,f,t,t,Gracia,Entire home/apt,4,1.0,2.0,4.0,144.0,7,90,t,10,2012-04-12,4.4,f,1,0.63
2365702,2012-05-14,within an hour,1.0,0.76,t,t,t,Sant Marti,Private room,1,1.0,1.0,1.0,67.0,5,150,t,9,2012-06-03,4.64,f,2,1.98
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Eixample,Entire home/apt,6,1.0,2.0,5.0,160.0,1,1125,t,30,2018-07-13,3.75,f,159,0.06
1475411,2011-12-05,within an hour,1.0,0.95,t,t,t,Sant Marti,Entire home/apt,4,1.0,1.0,2.0,138.0,7,120,t,2,2012-02-11,4.93,t,1,2.15
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Eixample,Entire home/apt,4,1.0,1.0,3.0,160.0,1,1125,t,30,2014-06-05,4.0,f,159,0.02
368317,2011-01-30,within a few hours,0.75,0.08,f,t,t,Ciutat Vella,Entire home/apt,4,1.0,4.0,4.0,72.0,28,1125,t,30,2013-08-21,4.0,f,7,0.01
2745490,2012-06-26,within an hour,1.0,0.78,t,t,t,Ciutat Vella,Private room,1,1.0,1.0,1.0,50.0,32,32,t,12,2013-06-21,4.8,f,2,0.41
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Eixample,Entire home/apt,2,1.0,1.0,2.0,250.0,1,1125,t,5,2012-04-18,4.65,f,159,0.14
2320210,2012-05-08,within an hour,1.0,0.99,f,t,t,Eixample,Entire home/apt,4,1.0,1.0,2.0,226.0,1,1125,t,11,2016-09-22,4.61,t,45,0.9
2747795,2012-06-26,within a few hours,1.0,0.79,f,t,t,Eixample,Entire home/apt,5,2.0,3.0,4.0,150.0,4,120,t,1,2013-04-09,4.56,f,1,1.51
2143907,2012-04-15,within an hour,1.0,1.0,f,t,t,Sants-Montjuic,Private room,2,1.0,1.0,1.0,30.0,31,320,t,2,2012-06-02,4.76,f,3,0.21
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Ciutat Vella,Entire home/apt,6,1.0,3.0,4.0,240.0,32,1125,t,27,2012-05-03,4.86,f,159,0.05
1377744,2011-11-06,within a day,0.93,0.87,f,t,t,Eixample,Entire home/apt,6,1.0,3.0,4.0,129.0,3,210,t,1,2012-04-25,4.54,f,2,2.04
1447144,2011-11-27,within an hour,0.84,0.12,f,t,t,Sant Marti,Entire home/apt,5,2.0,2.0,5.0,190.0,32,365,t,30,2012-02-11,4.88,f,159,0.06
2143907,2012-04-15,within an hour,1.0,1.0,f,t,t,Sants-Montjuic,Private room,2,1.0,2.0,2.0,30.0,31,320,t,6,2012-06-06,4.84,f,3,0.2
2753392,2012-06-26,within an hour,1.0,0.7,f,t,t,Ciutat Vella,Entire home/apt,2,1.0,1.0,1.0,130.0,32,1125,t,5,2012-08-06,4.82,f,1,0.33
6907539,2013-06-14,within an hour,1.0,0.98,t,t,t,Sants-Montjuic,Entire home/apt,2,1.0,1.0,1.0,217.0,5,14,t,0,2012-08-20,4.95,f,15,1.88
2320210,2012-05-08,within an hour,1.0,0.99,f,t,t,Gracia,Entire home/apt,5,1.0,2.0,3.0,192.0,1,1125,t,13,2016-06-23,4.22,t,45,0.76
2320210,2012-05-08,within an hour,1.0,0.99,f,t,t,Eixample,Entire home/apt,6,1.5,2.0,4.0,261.0,1,1125,t,14,2014-05-24,4.4,t,45,1.24
